Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Depression (%)
0,AFG,1990,0.160559542157,0.697779384535,0.101854863459,4.82882970499999,4.07183117706
0,AFG,1991,0.16031189863,0.697960594942,0.0993127900960999,4.82974037241,4.07953093539999
0,AFG,1992,0.160134822429,0.698106968899,0.0966915892928,4.83110836569,4.08835824297
0,AFG,1993,0.160037391188,0.698256934369,0.0943356623795,4.83086358539,4.09618989711999
0,AFG,1994,0.160022297338,0.69846911816,0.0924393209042,4.82942317312,4.09958157816
0,AFG,1995,0.160076308783,0.698694968944,0.090980372886,4.82833727334,4.10420732528
0,AFG,1996,0.160248726329,0.698914125049,0.0897089376174,4.82808312026,4.10750045554
0,AFG,1997,0.160553946742,0.699126654803,0.0883722221094,4.82772571638,4.11083367722
0,AFG,1998,0.160930711846,0.699371875194,0.0873300106476,4.8269712485,4.11443779100999
0,AFG,1999,0.161310884754,0.699674198516,0.0862667995035,4.8264128001,4.11763349824
0,AFG,2000,0.16162122443,0.700015096921,0.0860206198207,4.82704657505,4.11861034358999
0,AFG,2001,0.161957170769,0.700499479854,0.086517457129,4.83140882927,4.1213810747
0,AFG,2002,0.162414145895,0.701141208505999,0.0870227203973,4.83831781133,4.12492821619
0,AFG,2003,0.162915640474,0.701860412735,0.0871889109837,4.84553823082,4.12523049204
0,AFG,2004,0.163377393677,0.702556302696,0.0881575409506,4.8515123905,4.12638387348
0,AFG,2005,0.163706037839,0.703078387651,0.088933235928,4.85468446119,4.12690776347
0,AFG,2006,0.163976911765,0.703516640989,0.0900543399397,4.85668463045,4.12863837196999
0,AFG,2007,0.164302469267,0.703997852257,0.0916877012669,4.85886069467,4.12972758067
0,AFG,2008,0.164638794155,0.704480293361,0.093588805925,4.8604370363,4.12965570782
0,AFG,2009,0.16493166837,0.704924652341,0.0951661615564,4.86153329483,4.12997189215999
0,AFG,2010,0.165130258824,0.705313111625,0.0973271994381,4.8627769096,4.13087388504
0,AFG,2011,0.165271893873,0.705688468676,0.0986381146875,4.8647734172,4.13086219160999
0,AFG,2012,0.165423786696,0.706086206238,0.0998907504452,4.86728257795,4.13248478823
0,AFG,2013,0.165579371625,0.706471155715999,0.101290989889,4.86970128087,4.13466069347
0,AFG,2014,0.165741956749,0.706875850962,0.103136578742,4.87225638892999,4.13352565882
0,AFG,2015,0.165895095314,0.707275180371,0.104445057278,4.87520080402,4.13541925043
0,AFG,2016,0.166035374114,0.707685928364,0.105807560202,4.87887504114,4.13569434555
0,AFG,2017,0.166157851965,0.708088873434999,0.107142265558,4.88248127473,4.13634710028
1,ALB,1990,0.193412786713,0.695013340334,0.130782128455999,3.32758663553,2.13990307021
1,ALB,1991,0.19339315046,0.695293982765,0.129101965434,3.33034803136,2.1412012317
1,ALB,1992,0.193404606639,0.69560260554,0.127063201859,3.33343788661999,2.14339534112999
1,ALB,1993,0.193438302384999,0.69592244794,0.126019164587,3.33668835219,2.14526286182
1,ALB,1994,0.193491376747,0.696255109097,0.12540190512,3.34008885411,2.15006991895
1,ALB,1995,0.193559055566,0.696592826115999,0.125319804993,3.34358795942999,2.15441292449
1,ALB,1996,0.193674916656,0.696924920231,0.126147689868,3.34690741333,2.16131958778
1,ALB,1997,0.193864697802,0.697280986271,0.127300873263,3.35016096519999,2.17021814093
1,ALB,1998,0.194094008145,0.697600102258,0.128838546057,3.35324219304,2.17952963529999
1,ALB,1999,0.194328312971,0.697972358593,0.130729176166,3.35637998739,2.18880223435999
1,ALB,2000,0.194540779726999,0.698437219313999,0.132704172362,3.3602668242,2.19528461323999
1,ALB,2001,0.194812083139,0.698911545398,0.134932482055,3.36482370639,2.20197881604
1,ALB,2002,0.195214412203,0.699500622994,0.137540968387999,3.3707799591,2.20892125321999
1,ALB,2003,0.195677318165,0.700113754727,0.140334793048,3.3769520857,2.21628328617
1,ALB,2004,0.196139392741999,0.700682822784999,0.14304703461,3.38219923062,2.22211597806999
1,ALB,2005,0.196538303184,0.701135976354,0.145737500421999,3.38541647195999,2.22340705325
1,ALB,2006,0.197003850881,0.701533102125,0.148560528486,3.3872104899,2.22241683649
1,ALB,2007,0.197636489894,0.701983219615,0.151699714173,3.38891366073999,2.2172033685
1,ALB,2008,0.198306000569,0.702399738231,0.154944758228,3.39016813364,2.21064229839
1,ALB,2009,0.198904941915,0.702783255592,0.157738094255,3.39101769294,2.20603269216
1,ALB,2010,0.199308278077,0.703063617147,0.16033692756,3.39124641395,2.20334230288
1,ALB,2011,0.199587904068,0.703313274411,0.162419643345999,3.39118107539,2.202290732
1,ALB,2012,0.19986310231,0.70353947441,0.165446092579,3.39080671792,2.20219180717
1,ALB,2013,0.200133922756,0.703759746942999,0.167105078831,3.39019545938999,2.20309814698
1,ALB,2014,0.200391788811,0.703970319194,0.169409510347,3.38931928541999,2.20368376632999
1,ALB,2015,0.200629841943,0.704160792151,0.171094896746,3.38821238498,2.2044542039
1,ALB,2016,0.200844850056,0.704335235226,0.172626586124,3.38689141839,2.20650676665
1,ALB,2017,0.201025478973,0.704479655103,0.174046095006,3.38524453734,2.20841419824
2,DZA,1990,0.193581785211,0.802893378428,0.189024077474,4.97655257867,3.73259668773
2,DZA,1991,0.193206956402,0.802986333247,0.186989570782,4.97725978914,3.71797912104
2,DZA,1992,0.192891478725,0.803125578327,0.185063764271,4.9780744258,3.70670565584
2,DZA,1993,0.192646709235,0.803286774261999,0.183793362981,4.97889443732,3.69465171374
2,DZA,1994,0.192496528264,0.803494012798,0.182518472181999,4.97973094535,3.68527818842
